model,train_mae,train_rmse,train_r2,test_mae,test_rmse,test_r2,chrono_test_mae,chrono_test_rmse,chrono_test_r2,cv_mae,cv_rmse,cv_r2,robust_mae
RandomForest,1.9458205293301167,2.7803451645048227,0.9833049441494707,2.7439074867751114,4.0182641756817645,0.9659431937327572,2.586485642638799,3.784344593190867,0.9629831354299712,2.726038671942182,3.9935848264315448,0.9655386145885123,2.6854772671186975
GradientBoosting,2.7776976037694983,3.949190552473881,0.9663173210347505,2.8911378136080215,4.148625781817956,0.9636975887962784,2.728226090808786,3.9138711676858047,0.9604058219891439,2.858824599683852,4.097179532766603,0.9637188749005225,2.8260628347002203
LinearRegression,4.068101614651478,5.682262042841708,0.9302678649330782,4.1154808284411715,5.783961577533299,0.9294368846637301,3.7346604300411546,5.2247341165862675,0.9294419340193517,4.07331627119255,5.689123582631801,0.9300597167056598,3.9744858432249592
